dataset,seed,method,scenario,p90_m,mean_m
UTSIndoorLoc,44,RC-NoCoarseHeads,persistent_bias_8db,13.33519668200018,6.960420769009179
UTSIndoorLoc,44,RC-NoCoarseHeads,top20_outage,21.533205211963377,10.24097758033037
UTSIndoorLoc,44,RC-NoCoarseHeads,top20_outage_plus_bias4db,21.7293399390328,10.26950400439453
UTSIndoorLoc,44,RC-NoConsistency,clean,11.764652817927765,6.805469395158876
UTSIndoorLoc,44,RC-NoConsistency,device_offset_-6db,11.708282805846318,6.690913362825323
UTSIndoorLoc,44,RC-NoConsistency,persistent_bias_8db,12.388544034253014,6.949481265553911
UTSIndoorLoc,44,RC-NoConsistency,top20_outage,27.85972863768096,11.885300652578872
UTSIndoorLoc,44,RC-NoConsistency,top20_outage_plus_bias4db,28.076073449263763,11.947022996831407
UTSIndoorLoc,44,RC-NoCorruption,clean,13.71542259193003,7.296872768489308
UTSIndoorLoc,44,RC-NoCorruption,device_offset_-6db,14.126684204061805,7.338697851288834
UTSIndoorLoc,44,RC-NoCorruption,persistent_bias_8db,13.183383833800276,7.439245262562947
UTSIndoorLoc,44,RC-NoCorruption,top20_outage,21.51500320374048,11.468355731846396
UTSIndoorLoc,44,RC-NoCorruption,top20_outage_plus_bias4db,21.66826449728291,11.456410505175318
UTSIndoorLoc,44,RC-NoMask,clean,12.029477390354456,6.8211730128369386
UTSIndoorLoc,44,RC-NoMask,device_offset_-6db,12.159071529912334,6.853063186114286
UTSIndoorLoc,44,RC-NoMask,persistent_bias_8db,12.643145563157663,6.941721041914452
UTSIndoorLoc,44,RC-NoMask,top20_outage,24.316240388542408,11.283116903055888
UTSIndoorLoc,44,RC-NoMask,top20_outage_plus_bias4db,24.86973916207229,11.280136163662709
UTSIndoorLoc,44,RC-NoReconstruction,clean,12.033208550556225,6.789593682863554
UTSIndoorLoc,44,RC-NoReconstruction,device_offset_-6db,12.499401850531177,6.739268384674735
UTSIndoorLoc,44,RC-NoReconstruction,persistent_bias_8db,12.001491273893066,6.935429155101522
UTSIndoorLoc,44,RC-NoReconstruction,top20_outage,24.07030328469492,11.374807982221231
