dataset,seed,method,scenario,n,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,within_3m,floor_accuracy,floor_unknown_fraction,building_accuracy,building_unknown_fraction,train_seconds,latency_ms_per_sample,best_epoch
UJIIndoorLoc,33,RC-Loc,clean,1111.0,8.219085366542366,6.195432342433783,11.09738349566763,10.559926478393823,15.972108063484814,20.60814442372912,0.19171917191719173,0.9126912691269127,0.0,0.9990999099909991,0.0,233.9000401000958,0.13364401447287452,166
UJIIndoorLoc,33,RC-Direct,clean,1111.0,8.383329391479492,6.4627299308776855,11.192061424255371,10.897907733917236,16.562484741210938,20.689099311828613,0.17371737173717372,0.9126912691269127,0.0,0.9990999099909991,0.0,233.9000401000958,0.13364401447287452,166
UJIIndoorLoc,33,RC-Loc,"drop=0.2,noise=0",1111.0,10.096031003291637,7.119662651561448,14.366052348984146,12.852577678890034,20.933243414814832,27.79657182595163,0.15931593159315932,,,,,233.9000401000958,0.13364401447287452,166
UJIIndoorLoc,33,RC-Loc,"drop=0.4,noise=0",1111.0,13.940109142076743,9.805770921393657,20.085624360251938,18.25976065460845,29.828417201788195,37.4322783347595,0.10261026102610261,,,,,233.9000401000958,0.13364401447287452,166
UJIIndoorLoc,33,RC-Loc,"drop=0.6,noise=0",1111.0,21.106468835656436,14.276939077434436,32.72263768869249,26.731060983268154,41.1422697514576,53.66172088372611,0.062106210621062106,,,,,233.9000401000958,0.13364401447287452,166
UJIIndoorLoc,33,RC-Loc,"drop=0.2,noise=2",1111.0,10.08365376503407,7.098194207473719,14.3348273376903,12.804400924433233,20.56532605862915,27.82613361449514,0.1692169216921692,,,,,233.9000401000958,0.13364401447287452,166
UJIIndoorLoc,33,RC-Loc,"drop=0.2,noise=4",1111.0,10.135481301998727,7.301742401018306,14.416461960657642,12.922714506943574,20.488673147696023,28.009803815536998,0.16561656165616562,,,,,233.9000401000958,0.13364401447287452,166
UJIIndoorLoc,33,RC-Loc,"drop=0.2,noise=6",1111.0,10.219828328881182,7.404546201430633,14.438577334100234,13.352200956446286,20.444051982649732,27.76338488671175,0.1566156615661566,,,,,233.9000401000958,0.13364401447287452,166
UJIIndoorLoc,44,RC-Loc,clean,1111.0,7.78724497640263,6.011160215910854,10.681202627293409,9.71163233568106,15.43306820688406,20.47015039569707,0.24302430243024303,0.9207920792079208,0.0,0.9990999099909991,0.0,239.4993980000727,0.11971242127321412,188
UJIIndoorLoc,44,RC-Direct,clean,1111.0,8.188385009765625,6.278827667236328,10.977782249450684,10.498386859893799,16.01060676574707,20.217190742492676,0.19711971197119713,0.9207920792079208,0.0,0.9990999099909991,0.0,239.4993980000727,0.11971242127321412,188
UJIIndoorLoc,44,RC-Loc,"drop=0.2,noise=0",1111.0,8.956517533238413,6.6821877482928125,12.356160899460514,11.168961419855506,18.555504871233833,23.32372104971624,0.1854185418541854,,,,,239.4993980000727,0.11971242127321412,188
UJIIndoorLoc,44,RC-Loc,"drop=0.4,noise=0",1111.0,11.235657747394635,8.131437324262784,16.090430368663558,14.14602136069815,23.00243187051706,30.091985770841795,0.1404140414041404,,,,,239.4993980000727,0.11971242127321412,188
UJIIndoorLoc,44,RC-Loc,"drop=0.6,noise=0",1111.0,17.556275589787337,11.004058262672505,30.819960365905185,19.39214649205827,33.226775584198,49.89314046384007,0.08010801080108011,,,,,239.4993980000727,0.11971242127321412,188
UJIIndoorLoc,44,RC-Loc,"drop=0.2,noise=2",1111.0,8.977079457267854,6.6988543086002075,12.349903115850447,11.053142547120451,18.150654362326545,23.602947736305588,0.1782178217821782,,,,,239.4993980000727,0.11971242127321412,188
UJIIndoorLoc,44,RC-Loc,"drop=0.2,noise=4",1111.0,9.03466513824165,6.77257588510934,12.404479010311075,11.213297064833935,18.14350454523747,23.60966179189399,0.18271827182718273,,,,,239.4993980000727,0.11971242127321412,188
UJIIndoorLoc,44,RC-Loc,"drop=0.2,noise=6",1111.0,9.164136325611926,6.9642998163335,12.600420275299946,11.447612452290125,18.493389212907505,24.053936835355387,0.18721872187218722,,,,,239.4993980000727,0.11971242127321412,188
UJIIndoorLoc,55,RC-Loc,clean,1111.0,8.21090638519448,6.168888963179598,11.220501024175073,10.785704047000705,16.970200051979795,21.73394285916927,0.21962196219621963,0.9126912691269127,0.0,0.9990999099909991,0.0,245.64518900006078,0.1254187218683942,176
